Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8048261178140526,0.6551724137931034,0.5588235294117647,0.6031746031746031,0.8412694722157638
Random Forest,0.8019872249822569,0.6655052264808362,0.5106951871657754,0.5779122541603631,0.8390387248443514
XGBoost,0.8076650106458482,0.6757679180887372,0.5294117647058824,0.5937031484257871,0.8445154873543621
